"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms3",,,,"User:","sgokula"
"Cmdline:","dstat -cmn --nocolor --output /home/sgokula/one_server_base_line_log/dstat_r-o_c-5_rep_2_foraslvms3.csv 5 18",,,,"Date:","10 Dec 2017 15:48:15 UTC"

"total cpu usage",,,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send"
3.279,4.548,89.346,1.030,1.797,0.0,120696832.0,16232448.0,241000448.0,3231657984.0,0.0,0.0
6.494,7.792,81.618,2.398,1.698,0.0,118370304.0,16240640.0,241000448.0,3233976320.0,629225.800,412012.600
4.404,5.405,87.788,0.0,2.402,0.0,118743040.0,16240640.0,241008640.0,3233595392.0,941389.800,615526.400
4.605,5.405,87.287,0.300,2.402,0.0,118763520.0,16248832.0,241008640.0,3233566720.0,1055424.200,690083.200
4.396,5.195,87.413,0.500,2.498,0.0,118718464.0,16257024.0,241008640.0,3233603584.0,941224.800,615406.800
4.396,5.195,87.912,0.0,2.498,0.0,118853632.0,16257024.0,241008640.0,3233468416.0,937979.800,613306.600
4.104,5.005,86.486,2.202,2.202,0.0,118779904.0,16265216.0,241008640.0,3233533952.0,883873.200,578005.0
4.108,5.010,86.974,1.503,2.405,0.0,118771712.0,16273408.0,241008640.0,3233533952.0,886428.800,579590.200
4.296,5.095,88.212,0.0,2.398,0.0,118710272.0,16273408.0,241008640.0,3233595392.0,898285.600,587238.800
4.400,5.400,85.600,1.900,2.700,0.0,118796288.0,16281600.0,241008640.0,3233501184.0,913108.200,597234.600
4.300,5.0,88.300,0.0,2.400,0.0,118861824.0,16281600.0,241008640.0,3233435648.0,904481.200,591372.400
4.200,5.200,86.100,2.0,2.500,0.0,118530048.0,16289792.0,241008640.0,3233759232.0,920409.600,601900.600
4.600,5.400,87.400,0.0,2.600,0.0,118874112.0,16289792.0,241008640.0,3233415168.0,933009.600,610148.600
4.309,5.110,87.375,0.802,2.405,0.0,118747136.0,16297984.0,241008640.0,3233533952.0,917325.200,599682.200
4.600,5.200,87.700,0.0,2.500,0.0,118874112.0,16297984.0,241008640.0,3233406976.0,910360.400,595319.600
4.496,5.295,85.514,2.198,2.498,0.0,118611968.0,16306176.0,241008640.0,3233660928.0,924833.200,604869.800
4.304,5.005,88.288,0.0,2.402,0.0,118706176.0,16306176.0,241008640.0,3233566720.0,924563.600,604532.200
1.401,1.802,93.493,2.503,0.801,0.0,116649984.0,16314368.0,241008640.0,3235614720.0,286810.800,187717.400
6.494,9.890,80.719,2.597,0.300,0.0,127066112.0,16322560.0,241012736.0,3225186304.0,2045.600,1730.400
