"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms1",,,,"User:","sgokula"
"Cmdline:","dstat -cmn --nocolor --output /home/sgokula/one_server_base_line_log/dstat_w-o_c-75_rep-3_foraslvms1.csv 5 18",,,,"Date:","10 Dec 2017 15:09:30 UTC"

"total cpu usage",,,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send"
3.160,4.186,88.817,1.740,2.097,0.0,121487360.0,14716928.0,248893440.0,3224489984.0,0.0,0.0
6.281,7.378,85.045,0.0,1.296,0.0,119611392.0,14716928.0,248905728.0,3226353664.0,272133.200,468925.200
4.0,5.700,87.300,1.0,2.0,0.0,119521280.0,14725120.0,248905728.0,3226435584.0,494734.400,855170.800
4.400,6.100,87.400,0.0,2.100,0.0,119787520.0,14725120.0,248905728.0,3226169344.0,526582.200,910026.600
3.900,5.700,88.100,0.400,1.900,0.0,120389632.0,14733312.0,248905728.0,3225559040.0,495933.200,857130.0
3.900,5.600,88.500,0.0,2.0,0.0,120324096.0,14733312.0,248905728.0,3225624576.0,470292.0,812693.600
3.900,5.300,87.600,1.200,2.0,0.0,120074240.0,14741504.0,248905728.0,3225866240.0,461478.800,797503.200
3.804,5.506,88.789,0.0,1.902,0.0,120741888.0,14741504.0,248905728.0,3225198592.0,474858.0,820662.0
4.100,5.700,87.700,0.500,2.0,0.0,120799232.0,14749696.0,248905728.0,3225133056.0,488062.600,843302.600
4.108,5.812,87.976,0.0,2.104,0.0,120750080.0,14749696.0,248905728.0,3225182208.0,503066.800,869172.600
4.096,5.794,87.712,0.300,2.098,0.0,120438784.0,14757888.0,248905728.0,3225485312.0,508957.200,879713.200
4.200,6.0,87.700,0.0,2.100,0.0,120696832.0,14757888.0,248905728.0,3225227264.0,485366.0,838845.600
4.0,5.500,88.0,0.500,2.0,0.0,120606720.0,14766080.0,248905728.0,3225309184.0,466792.0,806896.800
3.800,5.600,88.700,0.0,1.900,0.0,120578048.0,14766080.0,248905728.0,3225337856.0,486775.0,840600.0
4.008,5.812,87.776,0.401,2.004,0.0,121171968.0,14774272.0,248905728.0,3224735744.0,491315.600,849640.400
4.296,6.094,87.512,0.0,2.098,0.0,121249792.0,14774272.0,248905728.0,3224657920.0,519864.800,898244.200
3.996,5.495,88.112,0.500,1.898,0.0,121274368.0,14782464.0,248905728.0,3224625152.0,493284.0,852475.800
1.401,2.102,95.696,0.0,0.801,0.0,116957184.0,14782464.0,248905728.0,3228942336.0,155587.200,267496.200
8.192,7.892,80.919,2.697,0.300,0.0,123101184.0,14790656.0,248913920.0,3222781952.0,2111.0,1954.200
