"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms1",,,,"User:","sgokula"
"Cmdline:","dstat -cmn --nocolor --output /home/sgokula/two_server_base_line_log/dstat_r-o_c-35_rep-1.csv 5 20",,,,"Date:","10 Dec 2017 18:37:50 UTC"

"total cpu usage",,,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send"
7.310,10.093,74.957,0.782,6.858,0.0,121294848.0,26464256.0,251809792.0,3210018816.0,0.0,0.0
0.100,0.399,99.003,0.399,0.100,0.0,118730752.0,26472448.0,251809792.0,3212574720.0,297.800,523.600
0.200,0.300,98.700,0.700,0.100,0.0,119627776.0,26480640.0,251801600.0,3211677696.0,593.200,704.800
0.0,0.300,99.700,0.0,0.0,0.0,119619584.0,26480640.0,251809792.0,3211677696.0,191.400,439.400
0.200,0.300,99.0,0.400,0.100,0.0,119992320.0,26488832.0,251809792.0,3211296768.0,509.0,901.600
4.0,4.0,91.500,0.400,0.100,0.0,120897536.0,26497024.0,251817984.0,3210375168.0,297.600,65.800
0.100,0.300,99.100,0.400,0.100,0.0,120377344.0,26501120.0,251817984.0,3210891264.0,550.600,688.200
0.100,0.300,99.200,0.400,0.0,0.0,120889344.0,26509312.0,251822080.0,3210366976.0,401.600,601.400
0.0,0.300,99.100,0.500,0.100,0.0,120365056.0,26513408.0,251817984.0,3210891264.0,351.600,447.600
0.100,0.300,99.500,0.0,0.100,0.0,120360960.0,26513408.0,251822080.0,3210891264.0,292.0,61.600
6.006,7.307,80.581,1.602,4.505,0.0,121438208.0,26521600.0,251830272.0,3209797632.0,885031.400,580701.800
8.700,11.400,72.800,0.600,6.500,0.0,120799232.0,26525696.0,251826176.0,3210436608.0,1385994.0,905717.400
8.800,11.400,70.100,0.700,9.0,0.0,121585664.0,26533888.0,251826176.0,3209641984.0,1321902.0,864662.200
8.909,13.514,70.070,0.0,7.508,0.0,120901632.0,26533888.0,251826176.0,3210326016.0,1340071.800,877091.200
9.191,11.289,72.128,0.599,6.793,0.0,120946688.0,26537984.0,251826176.0,3210276864.0,1356231.0,887494.400
17.200,22.400,40.900,0.0,19.500,0.0,123117568.0,26546176.0,251834368.0,3208089600.0,1864301.400,1220733.200
15.030,17.735,47.896,0.0,19.339,0.0,122523648.0,26546176.0,251834368.0,3208683520.0,2050522.800,1341926.400
16.700,21.400,43.0,0.0,18.900,0.0,122531840.0,26554368.0,251834368.0,3208667136.0,2266244.800,1480820.400
16.667,19.661,44.112,0.100,19.461,0.0,123670528.0,26562560.0,251838464.0,3207516160.0,2232512.400,1460025.400
17.854,22.869,40.421,0.0,18.857,0.0,122564608.0,26562560.0,251834368.0,3208626176.0,2307179.400,1508718.200
17.600,22.600,40.800,0.0,19.0,0.0,122597376.0,26570752.0,251838464.0,3208581120.0,2245055.400,1468808.800
