"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms1",,,,"User:","sgokula"
"Cmdline:","dstat -cmn --nocolor --output /home/sgokula/one_mw_base_line_log/dstat_r-o_c-2_t-16_rep-1.csv 5 18",,,,"Date:","13 Dec 2017 19:11:26 UTC"

"total cpu usage",,,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send"
3.455,4.677,88.176,0.913,2.779,0.0,112336896.0,17776640.0,231829504.0,3247644672.0,0.0,0.0
4.691,5.689,88.224,0.499,0.898,0.0,113856512.0,17784832.0,231829504.0,3246116864.0,196567.600,128476.200
2.500,3.0,93.0,0.0,1.500,0.0,113717248.0,17784832.0,231837696.0,3246247936.0,362372.800,237099.800
2.402,2.803,93.293,0.200,1.301,0.0,113709056.0,17793024.0,231837696.0,3246247936.0,358843.200,234638.200
2.697,3.297,92.308,0.0,1.698,0.0,113709056.0,17793024.0,231837696.0,3246247936.0,397266.0,259744.400
2.803,3.203,91.992,0.501,1.502,0.0,113700864.0,17801216.0,231837696.0,3246247936.0,395235.800,258432.0
2.697,3.297,92.408,0.0,1.598,0.0,113700864.0,17801216.0,231837696.0,3246247936.0,386951.0,253014.200
2.703,3.303,91.391,0.801,1.802,0.0,115118080.0,17809408.0,231841792.0,3244818432.0,388326.200,254878.0
2.703,3.203,84.685,7.908,1.502,0.0,115109888.0,17817600.0,231841792.0,3244818432.0,388226.600,253905.200
2.700,3.200,92.500,0.0,1.600,0.0,113946624.0,17817600.0,231837696.0,3245985792.0,375865.600,245765.400
2.700,3.100,91.500,1.100,1.600,0.0,113938432.0,17825792.0,231837696.0,3245985792.0,363680.600,237792.200
2.700,3.200,92.500,0.0,1.600,0.0,113938432.0,17825792.0,231837696.0,3245985792.0,372040.200,243258.600
2.402,2.903,92.793,0.501,1.401,0.0,113897472.0,17833984.0,231837696.0,3246018560.0,341662.0,223530.0
2.300,2.700,93.700,0.0,1.300,0.0,113930240.0,17833984.0,231837696.0,3245985792.0,340313.600,222542.400
2.503,3.103,92.693,0.200,1.502,0.0,113922048.0,17842176.0,231837696.0,3245985792.0,364954.600,238585.400
2.600,3.100,92.0,0.800,1.500,0.0,113922048.0,17850368.0,231829504.0,3245985792.0,377228.0,246687.200
2.500,2.900,93.100,0.0,1.500,0.0,113905664.0,17850368.0,231837696.0,3245993984.0,382467.200,250078.800
0.601,0.801,97.397,0.901,0.300,0.0,111546368.0,17858560.0,231845888.0,3248336896.0,76604.200,50325.200
0.100,0.200,98.703,0.898,0.100,0.0,111538176.0,17866752.0,231845888.0,3248336896.0,472.200,772.600
