"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms1",,,,"User:","sgokula"
"Cmdline:","dstat -cmn --nocolor --output /home/sgokula/one_mw_base_line_log/dstat_w-o_c-2_t-16_rep-1.csv 5 18",,,,"Date:","13 Dec 2017 16:34:41 UTC"

"total cpu usage",,,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send"
3.543,6.554,80.281,5.366,4.255,0.0,109850624.0,9322496.0,229974016.0,3260440576.0,0.0,0.0
3.992,5.888,89.022,0.299,0.798,0.0,111357952.0,9330688.0,229974016.0,3258925056.0,84014.800,144335.200
2.098,2.997,93.407,0.0,1.499,0.0,111480832.0,9330688.0,229982208.0,3258793984.0,184171.200,318268.400
2.305,3.006,92.786,0.401,1.503,0.0,111349760.0,9338880.0,229982208.0,3258916864.0,193080.800,333713.600
2.398,3.297,92.707,0.0,1.598,0.0,111349760.0,9338880.0,229982208.0,3258916864.0,206382.800,356635.400
2.202,2.903,91.992,1.502,1.401,0.0,111341568.0,9347072.0,229982208.0,3258916864.0,197249.0,340918.600
2.400,3.100,92.900,0.0,1.600,0.0,111341568.0,9347072.0,229982208.0,3258916864.0,209064.800,361338.400
2.0,2.700,92.500,1.500,1.300,0.0,111460352.0,9355264.0,229982208.0,3258789888.0,194279.600,335658.200
2.200,3.0,92.900,0.400,1.500,0.0,111579136.0,9363456.0,229982208.0,3258662912.0,222133.200,383977.800
2.100,2.700,93.900,0.0,1.300,0.0,111452160.0,9363456.0,229982208.0,3258789888.0,205509.600,355052.400
2.002,2.703,93.193,0.801,1.301,0.0,111443968.0,9371648.0,229982208.0,3258789888.0,204004.200,352500.0
2.0,2.700,94.0,0.0,1.300,0.0,111443968.0,9371648.0,229982208.0,3258789888.0,193228.800,333846.0
1.998,2.797,93.407,0.400,1.399,0.0,111435776.0,9379840.0,229982208.0,3258789888.0,202803.200,350382.600
2.102,2.903,93.694,0.0,1.301,0.0,111435776.0,9379840.0,229982208.0,3258789888.0,208413.600,360204.800
2.200,2.900,91.100,2.300,1.500,0.0,111525888.0,9388032.0,229982208.0,3258691584.0,208369.200,359981.0
2.102,2.803,93.493,0.200,1.401,0.0,111546368.0,9396224.0,229982208.0,3258662912.0,211051.0,364918.800
2.100,2.900,93.600,0.0,1.400,0.0,111546368.0,9396224.0,229982208.0,3258662912.0,209908.400,362778.200
0.400,0.600,97.300,1.400,0.300,0.0,109707264.0,9404416.0,229986304.0,3260489728.0,38774.400,66827.0
0.0,0.100,99.700,0.200,0.0,0.0,109699072.0,9412608.0,229986304.0,3260489728.0,26.400,21.600
