"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms1",,,,"User:","sgokula"
"Cmdline:","dstat -cmn --nocolor --output /home/sgokula/two_mw_base_line_log/dstat_r-o_c-64_t-32_rep-3.csv 5 20",,,,"Date:","14 Dec 2017 07:42:06 UTC"

"total cpu usage",,,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send"
3.321,4.496,89.103,0.751,2.329,0.0,137076736.0,44613632.0,254922752.0,3165364224.0,0.0,0.0
12.587,15.884,67.333,0.300,3.896,0.0,139788288.0,44621824.0,254943232.0,3162624000.0,971589.0,636711.800
11.700,13.500,65.900,0.0,8.900,0.0,140324864.0,44621824.0,254943232.0,3162087424.0,2408725.400,1573416.400
11.588,15.584,60.140,0.200,12.488,0.0,140382208.0,44625920.0,254943232.0,3162025984.0,2308461.200,1508617.0
12.412,14.915,62.563,0.0,10.110,0.0,140529664.0,44625920.0,254943232.0,3161878528.0,2483618.800,1622307.200
11.912,16.416,58.559,0.501,12.613,0.0,140402688.0,44630016.0,254943232.0,3162001408.0,2296988.200,1502362.600
12.700,15.100,62.0,0.0,10.200,0.0,140460032.0,44630016.0,254943232.0,3161944064.0,2381978.0,1557547.400
12.800,15.200,61.200,0.500,10.300,0.0,140746752.0,44630016.0,254943232.0,3161657344.0,2243047.200,1467460.800
12.700,13.400,61.800,0.400,11.700,0.0,141049856.0,44634112.0,254939136.0,3161354240.0,2235135.200,1461612.600
12.613,13.614,63.263,0.0,10.511,0.0,141176832.0,44634112.0,254943232.0,3161223168.0,2193273.800,1432844.600
12.200,13.900,63.700,0.400,9.800,0.0,141172736.0,44638208.0,254943232.0,3161223168.0,2233296.0,1460514.600
12.0,13.700,65.200,0.0,9.100,0.0,141266944.0,44638208.0,254943232.0,3161128960.0,2363825.800,1543465.200
13.100,14.100,62.600,0.200,10.0,0.0,141139968.0,44642304.0,254943232.0,3161251840.0,2460244.0,1609041.0
12.513,16.316,58.158,0.0,13.013,0.0,140914688.0,44642304.0,254943232.0,3161477120.0,2213140.0,1448422.600
12.288,14.186,63.936,0.200,9.391,0.0,141774848.0,44646400.0,254943232.0,3160612864.0,2431623.200,1590278.0
12.700,13.400,64.100,0.200,9.600,0.0,141975552.0,44646400.0,254943232.0,3160412160.0,2375465.0,1552986.400
12.0,14.900,62.500,0.0,10.600,0.0,141914112.0,44646400.0,254943232.0,3160473600.0,2308044.200,1509913.200
5.105,5.706,85.485,0.701,3.003,0.0,136761344.0,44646400.0,254951424.0,3165618176.0,992534.0,649783.400
0.0,0.100,99.500,0.300,0.100,0.0,136757248.0,44650496.0,254951424.0,3165618176.0,0.0,0.0
0.0,0.100,99.900,0.0,0.0,0.0,136757248.0,44650496.0,254951424.0,3165618176.0,0.0,0.0
0.0,0.100,99.500,0.300,0.100,0.0,136749056.0,44658688.0,254951424.0,3165618176.0,70.400,70.400
