"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms1",,,,"User:","sgokula"
"Cmdline:","dstat -cmn --nocolor --output /home/sgokula/two_mw_base_line_log/dstat_w-o_c-128_t-64_rep-3.csv 5 20",,,,"Date:","14 Dec 2017 05:28:54 UTC"

"total cpu usage",,,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send"
3.432,4.874,88.315,0.779,2.600,0.0,123912192.0,18722816.0,232796160.0,3226546176.0,0.0,0.0
13.174,14.571,62.076,1.098,9.082,0.0,129114112.0,18731008.0,232812544.0,3221319680.0,663255.0,1127338.200
12.513,16.617,53.854,0.0,17.017,0.0,129392640.0,18731008.0,232812544.0,3221041152.0,1526032.800,2649082.800
12.0,17.0,51.400,0.300,19.300,0.0,129847296.0,18739200.0,232812544.0,3220578304.0,1489916.800,2568848.200
13.900,16.500,49.100,0.0,20.500,0.0,130379776.0,18739200.0,232812544.0,3220045824.0,1542976.400,2669000.800
13.0,17.600,48.500,1.100,19.800,0.0,130383872.0,18747392.0,232812544.0,3220033536.0,1565869.600,2706802.800
13.313,16.817,53.353,0.0,16.517,0.0,130240512.0,18747392.0,232812544.0,3220176896.0,1606063.200,2785579.200
14.0,16.200,50.300,0.400,19.100,0.0,130719744.0,18755584.0,232812544.0,3219689472.0,1593782.400,2759292.600
12.613,16.416,47.748,3.604,19.620,0.0,131198976.0,18763776.0,232804352.0,3219210240.0,1512944.800,2622976.800
12.713,17.317,49.149,0.0,20.821,0.0,131346432.0,18763776.0,232812544.0,3219054592.0,1480225.200,2562473.600
12.587,15.784,46.753,2.098,22.777,0.0,131055616.0,18771968.0,232812544.0,3219337216.0,1514158.400,2627687.400
12.312,15.415,53.053,0.0,19.219,0.0,131006464.0,18771968.0,232812544.0,3219386368.0,1482037.200,2567288.0
12.188,16.683,49.451,0.300,21.379,0.0,131198976.0,18780160.0,232812544.0,3219185664.0,1443207.200,2503438.400
12.088,15.285,51.349,0.0,21.279,0.0,131108864.0,18780160.0,232812544.0,3219275776.0,1415010.0,2469679.400
11.912,14.014,49.650,0.801,23.624,0.0,132706304.0,18788352.0,232812544.0,3217670144.0,1219433.200,2173509.0
11.688,14.286,49.650,0.0,24.376,0.0,133017600.0,18788352.0,232812544.0,3217358848.0,1226296.800,2178426.400
12.024,16.333,49.098,0.301,22.244,0.0,132976640.0,18796544.0,232812544.0,3217391616.0,1366432.0,2373788.800
4.296,9.391,78.022,0.0,8.292,0.0,124321792.0,18796544.0,232828928.0,3226030080.0,457879.600,780195.0
0.0,0.100,99.700,0.200,0.0,0.0,124313600.0,18804736.0,232828928.0,3226030080.0,0.0,0.0
0.0,0.100,99.800,0.0,0.100,0.0,124313600.0,18804736.0,232828928.0,3226030080.0,92.0,223.800
0.0,0.100,99.200,0.700,0.0,0.0,124305408.0,18812928.0,232828928.0,3226030080.0,40.400,10.800
