"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms2",,,,"User:","sgokula"
"Cmdline:","dstat -cmn --nocolor --output /home/sgokula/sets_tps_log/dstat_c-18_t-16_rep-3_foraslvms2.csv 5 20",,,,"Date:","11 Dec 2017 23:00:02 UTC"

"total cpu usage",,,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send"
1.747,2.565,93.101,1.283,1.305,0.0,112664576.0,13168640.0,230903808.0,3252850688.0,0.0,0.0
7.976,7.976,78.564,2.293,3.190,0.0,114798592.0,13176832.0,230920192.0,3250692096.0,112294.800,190403.600
2.202,3.003,91.391,1.702,1.702,0.0,114884608.0,13185024.0,230920192.0,3250597888.0,238910.200,410091.800
2.400,3.100,92.800,0.0,1.700,0.0,114950144.0,13185024.0,230920192.0,3250532352.0,253460.800,436652.400
2.302,2.903,91.792,1.401,1.602,0.0,115560448.0,13193216.0,230924288.0,3249909760.0,245011.800,421425.600
2.500,3.0,92.300,0.400,1.800,0.0,116375552.0,13201408.0,230924288.0,3249086464.0,254600.200,437110.800
2.398,3.197,92.108,0.400,1.898,0.0,116367360.0,13209600.0,230924288.0,3249086464.0,268592.0,463412.800
1.805,2.307,94.584,0.0,1.304,0.0,115761152.0,13209600.0,230920192.0,3249696768.0,201881.200,343239.400
2.198,2.997,92.607,0.599,1.598,0.0,115752960.0,13217792.0,230920192.0,3249696768.0,244949.600,419194.200
2.503,3.203,91.291,1.301,1.702,0.0,115773440.0,13225984.0,230920192.0,3249668096.0,272645.200,467107.0
2.498,3.197,92.507,0.0,1.798,0.0,115994624.0,13225984.0,230924288.0,3249442816.0,265775.400,456564.600
2.102,2.903,92.693,0.901,1.401,0.0,116146176.0,13234176.0,230924288.0,3249283072.0,236797.800,405598.800
2.300,3.0,93.100,0.0,1.600,0.0,115937280.0,13234176.0,230920192.0,3249496064.0,246340.600,420589.600
2.100,2.900,91.900,1.500,1.600,0.0,115863552.0,13242368.0,230920192.0,3249561600.0,238309.400,408636.200
1.900,2.500,94.200,0.0,1.400,0.0,115863552.0,13242368.0,230920192.0,3249561600.0,210551.200,358127.600
2.100,2.700,93.300,0.400,1.500,0.0,115724288.0,13250560.0,230920192.0,3249692672.0,233051.600,400614.0
2.102,2.903,93.493,0.0,1.502,0.0,115822592.0,13250560.0,230920192.0,3249594368.0,235991.600,405012.200
0.999,1.399,96.503,0.400,0.699,0.0,112717824.0,13258752.0,230940672.0,3252670464.0,98865.800,168839.400
0.0,0.100,99.099,0.801,0.0,0.0,112709632.0,13266944.0,230940672.0,3252670464.0,475.200,475.200
0.0,0.100,99.800,0.0,0.100,0.0,112709632.0,13266944.0,230940672.0,3252670464.0,0.0,0.0
0.0,0.100,99.499,0.400,0.0,0.0,112701440.0,13275136.0,230940672.0,3252670464.0,0.0,0.0
