"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms1",,,,"User:","sgokula"
"Cmdline:","dstat -cmn --nocolor --output /home/sgokula/gets_exp_log/dstat_s-False_g-1_rep-1_foraslvms1.csv 5 20",,,,"Date:","11 Dec 2017 14:33:39 UTC"

"total cpu usage",,,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send"
1.522,2.906,92.095,1.903,1.574,0.0,119513088.0,10498048.0,230522880.0,3241443328.0,0.0,0.0
6.993,7.493,79.920,2.198,3.397,0.0,122462208.0,10506240.0,230539264.0,3238469632.0,69661.400,65994.200
1.600,2.300,92.700,2.100,1.300,0.0,122462208.0,10514432.0,230531072.0,3238469632.0,147314.0,136187.800
1.598,2.098,95.105,0.0,1.199,0.0,122327040.0,10514432.0,230539264.0,3238596608.0,127175.800,117879.200
1.700,2.300,93.600,1.100,1.300,0.0,122318848.0,10522624.0,230539264.0,3238596608.0,157050.600,151786.400
1.900,2.300,93.500,0.900,1.400,0.0,122834944.0,10530816.0,230539264.0,3238072320.0,160807.400,150153.600
1.802,2.402,94.394,0.0,1.401,0.0,122183680.0,10530816.0,230539264.0,3238723584.0,157984.800,147835.400
1.900,2.800,91.800,1.900,1.600,0.0,122208256.0,10539008.0,230539264.0,3238690816.0,169055.200,165174.600
2.0,2.800,91.800,1.700,1.700,0.0,122519552.0,10547200.0,230543360.0,3238367232.0,180985.800,165587.600
1.702,2.402,93.994,0.400,1.502,0.0,122380288.0,10555392.0,230543360.0,3238498304.0,155745.0,147333.200
1.600,2.200,94.900,0.0,1.300,0.0,122318848.0,10555392.0,230543360.0,3238559744.0,135514.600,124500.200
1.902,2.603,93.493,0.501,1.502,0.0,122314752.0,10563584.0,230543360.0,3238555648.0,172018.600,160068.400
1.902,2.603,93.994,0.0,1.502,0.0,122187776.0,10563584.0,230543360.0,3238682624.0,170567.200,158433.200
1.598,2.198,93.606,1.199,1.399,0.0,122073088.0,10571776.0,230543360.0,3238789120.0,155061.600,140057.400
1.902,2.603,93.994,0.0,1.502,0.0,121901056.0,10571776.0,230543360.0,3238961152.0,171317.800,162151.400
1.898,2.597,93.706,0.300,1.499,0.0,121884672.0,10579968.0,230543360.0,3238969344.0,171208.800,162696.600
1.902,2.703,92.793,1.001,1.602,0.0,121876480.0,10588160.0,230543360.0,3238969344.0,172769.0,163047.0
1.200,1.500,96.400,0.0,0.900,0.0,119312384.0,10588160.0,230572032.0,3241504768.0,81780.400,78427.0
0.0,0.200,96.503,3.297,0.0,0.0,119304192.0,10596352.0,230572032.0,3241504768.0,52.800,52.800
0.100,0.100,99.700,0.0,0.100,0.0,119144448.0,10596352.0,230572032.0,3241664512.0,602.600,986.600
0.0,0.100,99.499,0.400,0.0,0.0,119136256.0,10604544.0,230572032.0,3241664512.0,25.200,21.600


"Host:","foraslvms1",,,,"User:","sgokula"
"Cmdline:","dstat -cmn --nocolor --output /home/sgokula/gets_exp_log/dstat_s-False_g-1_rep-1_foraslvms1.csv 5 20",,,,"Date:","11 Dec 2017 17:17:35 UTC"

"total cpu usage",,,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send"
1.628,3.297,91.834,1.573,1.667,0.0,117428224.0,10469376.0,230223872.0,3243855872.0,0.0,0.0
6.893,9.391,81.518,1.598,0.599,0.0,121720832.0,10477568.0,230236160.0,3239542784.0,33004.400,33549.400
0.900,1.800,96.500,0.0,0.800,0.0,121712640.0,10477568.0,230244352.0,3239542784.0,85425.800,86647.400
0.999,1.798,96.004,0.200,0.999,0.0,121704448.0,10485760.0,230244352.0,3239542784.0,96114.0,95099.200
1.001,1.802,96.196,0.0,1.001,0.0,121704448.0,10485760.0,230244352.0,3239542784.0,94035.0,94758.200
1.001,1.702,96.196,0.200,0.901,0.0,121696256.0,10493952.0,230244352.0,3239542784.0,89416.400,90582.800
1.0,1.700,96.400,0.0,0.900,0.0,121696256.0,10493952.0,230244352.0,3239542784.0,98047.800,97322.400
1.0,1.500,95.900,0.700,0.900,0.0,121688064.0,10502144.0,230244352.0,3239542784.0,95532.200,97644.0
1.0,1.700,96.0,0.400,0.900,0.0,121806848.0,10510336.0,230244352.0,3239415808.0,92250.200,94412.400
1.001,1.702,95.796,0.501,1.001,0.0,121798656.0,10518528.0,230244352.0,3239415808.0,96838.200,98470.600
1.0,1.600,96.500,0.0,0.900,0.0,121798656.0,10518528.0,230244352.0,3239415808.0,93177.200,95263.400
1.0,1.700,96.200,0.200,0.900,0.0,121790464.0,10526720.0,230244352.0,3239415808.0,93732.200,95238.0
0.901,1.602,96.597,0.0,0.901,0.0,121851904.0,10526720.0,230248448.0,3239350272.0,94100.200,96098.800
1.100,1.700,95.100,1.200,0.900,0.0,121778176.0,10534912.0,230248448.0,3239415808.0,96779.200,97819.400
1.0,1.800,96.200,0.0,1.0,0.0,121778176.0,10534912.0,230248448.0,3239415808.0,98362.600,99964.600
1.098,1.896,95.808,0.200,0.998,0.0,121769984.0,10543104.0,230248448.0,3239415808.0,95817.200,97628.400
0.902,1.703,95.591,0.902,0.902,0.0,121761792.0,10551296.0,230248448.0,3239415808.0,93844.600,95890.0
0.599,0.999,97.802,0.0,0.599,0.0,117751808.0,10551296.0,230264832.0,3243409408.0,51627.400,52221.400
0.0,0.100,99.299,0.601,0.0,0.0,117743616.0,10559488.0,230264832.0,3243409408.0,52.800,52.800
0.100,0.100,99.700,0.0,0.100,0.0,117743616.0,10559488.0,230264832.0,3243409408.0,92.0,223.800
0.0,0.100,99.300,0.600,0.0,0.0,117735424.0,10567680.0,230264832.0,3243409408.0,0.0,0.0
