"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms1",,,,"User:","sgokula"
"Cmdline:","dstat -cmn --nocolor --output /home/sgokula/gets_exp_log/dstat_s-True_g-1_rep-1_foraslvms1.csv 5 20",,,,"Date:","11 Dec 2017 14:10:08 UTC"

"total cpu usage",,,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send"
1.572,4.024,88.562,3.436,2.406,0.0,118812672.0,9043968.0,230006784.0,3244113920.0,0.0,0.0
7.093,9.990,81.419,0.400,1.099,0.0,121143296.0,9052160.0,229994496.0,3241787392.0,414196.0,75201.200
1.700,2.500,94.100,0.300,1.400,0.0,121139200.0,9060352.0,229994496.0,3241783296.0,786160.600,151949.200
2.0,2.500,93.900,0.0,1.600,0.0,121081856.0,9060352.0,229994496.0,3241840640.0,816373.200,169888.600
2.0,2.700,93.0,0.700,1.600,0.0,121073664.0,9068544.0,229994496.0,3241840640.0,758144.200,170265.200
1.902,2.603,93.894,0.0,1.602,0.0,121049088.0,9068544.0,229994496.0,3241865216.0,689656.0,166915.200
1.998,2.697,93.307,0.400,1.598,0.0,121073664.0,9076736.0,229994496.0,3241832448.0,607533.0,162401.800
1.902,2.803,92.192,1.401,1.702,0.0,121200640.0,9084928.0,229994496.0,3241697280.0,630880.400,172513.600
2.0,2.600,93.800,0.0,1.600,0.0,121200640.0,9084928.0,229994496.0,3241697280.0,570653.200,170281.800
1.900,2.700,92.500,1.300,1.600,0.0,121200640.0,9093120.0,229994496.0,3241689088.0,523436.0,164279.800
1.400,2.100,95.300,0.0,1.200,0.0,121200640.0,9093120.0,229994496.0,3241689088.0,352277.200,117833.0
1.503,2.204,94.289,0.701,1.303,0.0,121192448.0,9101312.0,229994496.0,3241689088.0,371821.400,136409.400
1.697,2.395,94.511,0.0,1.397,0.0,121200640.0,9101312.0,229994496.0,3241680896.0,387525.200,141091.200
1.700,2.400,94.300,0.200,1.400,0.0,121200640.0,9109504.0,229994496.0,3241672704.0,368612.800,151286.800
1.802,2.402,94.294,0.0,1.502,0.0,121217024.0,9109504.0,229994496.0,3241656320.0,359109.600,154578.200
2.0,2.700,92.500,1.200,1.600,0.0,121233408.0,9117696.0,229994496.0,3241631744.0,370703.400,171839.400
1.900,2.500,94.100,0.0,1.500,0.0,121200640.0,9117696.0,229994496.0,3241664512.0,369868.200,167249.0
0.700,1.100,97.300,0.300,0.600,0.0,118894592.0,9125888.0,230019072.0,3243937792.0,120056.400,56334.400
0.0,0.100,99.600,0.300,0.0,0.0,118886400.0,9134080.0,230019072.0,3243937792.0,52.800,52.800
0.0,0.100,99.800,0.0,0.100,0.0,118886400.0,9134080.0,230019072.0,3243937792.0,0.0,0.0
0.0,0.100,99.600,0.300,0.0,0.0,118878208.0,9142272.0,230019072.0,3243937792.0,92.0,223.800


"Host:","foraslvms1",,,,"User:","sgokula"
"Cmdline:","dstat -cmn --nocolor --output /home/sgokula/gets_exp_log/dstat_s-True_g-1_rep-1_foraslvms1.csv 5 20",,,,"Date:","11 Dec 2017 16:53:58 UTC"

"total cpu usage",,,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send"
2.046,4.715,88.100,2.609,2.530,0.0,117133312.0,9199616.0,229724160.0,3245920256.0,0.0,0.0
6.687,6.587,81.238,2.196,3.293,0.0,119160832.0,9207808.0,229711872.0,3243896832.0,235304.600,43527.200
