"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms1",,,,"User:","sgokula"
"Cmdline:","dstat -cmn --nocolor --output /home/sgokula/2k_exp_log/dstat_r-o_mc-2_mw-1_t-8_rep-2_foraslvms1.csv 5 20",,,,"Date:","10 Dec 2017 23:35:02 UTC"

"total cpu usage",,,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send"
2.175,3.246,91.985,0.903,1.690,0.0,123727872.0,15306752.0,232235008.0,3230707712.0,0.0,0.0
3.693,5.190,90.519,0.499,0.100,0.0,125915136.0,15314944.0,232243200.0,3228504064.0,1009.400,852.600
2.198,2.697,90.709,2.597,1.798,0.0,126312448.0,15323136.0,232235008.0,3228106752.0,306434.800,189345.800
2.200,3.0,93.0,0.0,1.800,0.0,126361600.0,15323136.0,232243200.0,3228049408.0,317912.200,201204.800
2.402,3.203,92.192,0.300,1.902,0.0,126287872.0,15331328.0,232243200.0,3228114944.0,322865.0,204369.400
2.400,3.200,92.500,0.0,1.900,0.0,126488576.0,15331328.0,232243200.0,3227914240.0,344577.400,220117.600
2.302,2.903,92.492,0.501,1.802,0.0,126554112.0,15339520.0,232243200.0,3227840512.0,310996.800,198223.600
2.200,2.700,93.300,0.0,1.800,0.0,126423040.0,15339520.0,232243200.0,3227971584.0,299195.200,188606.0
2.300,3.100,92.300,0.400,1.900,0.0,126513152.0,15347712.0,232243200.0,3227873280.0,328270.600,208261.400
2.100,2.800,92.800,0.600,1.700,0.0,126439424.0,15355904.0,232243200.0,3227938816.0,296387.600,187113.0
2.300,3.0,92.800,0.0,1.900,0.0,126414848.0,15355904.0,232243200.0,3227963392.0,308040.800,194650.800
2.0,2.800,89.700,3.700,1.800,0.0,126472192.0,15364096.0,232243200.0,3227897856.0,303137.600,195380.600
2.300,3.100,92.600,0.0,2.0,0.0,126390272.0,15364096.0,232243200.0,3227979776.0,319965.800,204996.800
2.102,2.803,91.391,2.102,1.602,0.0,126472192.0,15372288.0,232243200.0,3227889664.0,303747.0,191444.800
1.802,2.402,94.394,0.0,1.401,0.0,126476288.0,15372288.0,232243200.0,3227885568.0,267734.0,170267.800
2.0,2.800,93.400,0.300,1.500,0.0,126910464.0,15380480.0,232243200.0,3227443200.0,298254.0,187493.0
2.0,2.500,93.800,0.0,1.700,0.0,126943232.0,15380480.0,232243200.0,3227410432.0,267691.0,168207.600
2.100,2.800,92.700,0.600,1.800,0.0,126902272.0,15388672.0,232243200.0,3227443200.0,302858.600,193680.200
0.100,0.200,99.700,0.0,0.0,0.0,124194816.0,15388672.0,232247296.0,3230146560.0,3764.0,2861.0
0.0,0.100,99.400,0.400,0.100,0.0,124186624.0,15396864.0,232247296.0,3230146560.0,92.0,223.800
0.0,0.100,99.900,0.0,0.0,0.0,124186624.0,15396864.0,232247296.0,3230146560.0,0.0,0.0
