"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms1",,,,"User:","sgokula"
"Cmdline:","dstat -cmn --nocolor --output /home/sgokula/2k_exp_log/dstat_r-w_mc-3_mw-1_t-8_rep-2_foraslvms1.csv 5 20",,,,"Date:","10 Dec 2017 23:12:40 UTC"

"total cpu usage",,,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send"
2.149,3.299,91.810,1.010,1.731,0.0,123691008.0,14036992.0,231813120.0,3232436224.0,0.0,0.0
4.790,6.387,87.525,0.399,0.898,0.0,125706240.0,14045184.0,231821312.0,3230404608.0,123889.400,86563.200
1.502,2.202,94.795,0.0,1.502,0.0,125775872.0,14045184.0,231821312.0,3230334976.0,214578.600,143954.0
1.600,2.300,93.700,0.700,1.700,0.0,125702144.0,14053376.0,231821312.0,3230400512.0,226847.600,147801.200
1.598,2.298,94.605,0.0,1.499,0.0,125812736.0,14053376.0,231821312.0,3230289920.0,221409.200,143124.400
1.602,2.302,94.194,0.300,1.602,0.0,125837312.0,14061568.0,231821312.0,3230257152.0,221813.800,149984.200
1.600,2.300,94.500,0.0,1.600,0.0,125837312.0,14061568.0,231821312.0,3230257152.0,226493.800,147935.0
1.401,2.102,93.694,1.301,1.502,0.0,125956096.0,14069760.0,231821312.0,3230130176.0,214513.0,142849.600
1.598,2.298,92.108,2.298,1.698,0.0,125915136.0,14077952.0,231821312.0,3230162944.0,219400.800,142036.600
1.602,2.102,94.695,0.0,1.602,0.0,125915136.0,14077952.0,231821312.0,3230162944.0,211930.200,139565.800
1.499,1.998,93.906,1.099,1.499,0.0,125980672.0,14086144.0,231821312.0,3230089216.0,208235.0,137143.200
1.401,2.002,95.195,0.0,1.401,0.0,125931520.0,14086144.0,231821312.0,3230138368.0,197686.400,133652.0
1.500,2.300,94.400,0.200,1.600,0.0,125923328.0,14094336.0,231821312.0,3230138368.0,214233.800,139522.200
1.499,1.998,95.105,0.0,1.399,0.0,125890560.0,14094336.0,231821312.0,3230171136.0,207596.600,133064.0
1.500,2.100,94.500,0.300,1.600,0.0,126345216.0,14102528.0,231821312.0,3229708288.0,209865.400,138665.800
1.503,2.204,93.788,1.002,1.503,0.0,126312448.0,14110720.0,231821312.0,3229732864.0,213219.800,138169.400
1.500,2.0,95.0,0.0,1.500,0.0,126320640.0,14110720.0,231821312.0,3229724672.0,212187.0,133629.400
0.601,0.901,97.698,0.200,0.601,0.0,123363328.0,14118912.0,231829504.0,3232665600.0,77484.400,51378.800
0.0,0.100,99.600,0.200,0.100,0.0,123355136.0,14127104.0,231829504.0,3232665600.0,77.200,42.800
0.0,0.100,99.900,0.0,0.0,0.0,123355136.0,14127104.0,231829504.0,3232665600.0,0.0,0.0
0.0,0.100,99.500,0.300,0.100,0.0,123346944.0,14135296.0,231829504.0,3232665600.0,0.0,0.0
