"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms2",,,,"User:","sgokula"
"Cmdline:","dstat -cmn --nocolor --output /home/sgokula/2k_exp_log/dstat_w-o_mc-2_mw-2_t-8_rep-1_foraslvms2.csv 5 20",,,,"Date:","10 Dec 2017 22:14:30 UTC"

"total cpu usage",,,,,,"memory usage",,,,"net/total",
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send"
2.053,3.772,90.446,1.817,1.913,0.0,125960192.0,10657792.0,230744064.0,3234615296.0,0.0,0.0
8.991,9.990,76.823,0.400,3.796,0.0,127164416.0,10665984.0,230760448.0,3233386496.0,107794.200,170818.400
2.500,3.700,91.500,0.300,2.0,0.0,126898176.0,10674176.0,230748160.0,3233656832.0,243888.0,407586.0
2.400,3.400,92.300,0.0,1.900,0.0,126963712.0,10674176.0,230756352.0,3233583104.0,218245.600,362322.600
2.400,3.700,90.800,1.0,2.100,0.0,126922752.0,10682368.0,230756352.0,3233615872.0,236374.0,396732.0
2.402,3.303,92.292,0.0,2.002,0.0,127762432.0,10682368.0,230760448.0,3232772096.0,219320.600,367146.400
2.400,3.500,91.800,0.300,2.0,0.0,127078400.0,10690560.0,230760448.0,3233447936.0,219872.800,365920.800
2.600,3.700,91.600,0.0,2.100,0.0,127107072.0,10690560.0,230756352.0,3233423360.0,240200.0,402538.200
2.200,3.400,92.100,0.300,2.0,0.0,127139840.0,10698752.0,230756352.0,3233382400.0,221926.400,369813.800
2.600,3.400,91.500,0.500,2.0,0.0,127123456.0,10706944.0,230756352.0,3233390592.0,240982.800,404531.200
2.400,3.500,92.0,0.0,2.100,0.0,127946752.0,10706944.0,230760448.0,3232563200.0,245847.400,411142.0
2.503,3.403,91.892,0.300,1.902,0.0,127938560.0,10715136.0,230760448.0,3232563200.0,238192.400,396515.600
2.498,3.796,91.608,0.0,2.098,0.0,127406080.0,10715136.0,230760448.0,3233095680.0,225208.400,375709.600
2.402,3.604,91.792,0.100,2.102,0.0,127385600.0,10723328.0,230756352.0,3233112064.0,237019.0,396050.400
2.503,3.403,92.192,0.0,1.902,0.0,127520768.0,10723328.0,230756352.0,3232976896.0,232153.400,389740.0
2.300,3.300,91.800,0.700,1.900,0.0,127373312.0,10731520.0,230756352.0,3233116160.0,218291.600,362722.200
2.202,3.303,92.593,0.0,1.902,0.0,127430656.0,10731520.0,230756352.0,3233058816.0,232096.800,386853.800
1.099,1.598,95.704,0.599,0.999,0.0,125587456.0,10739712.0,230768640.0,3234881536.0,104515.600,175187.400
0.0,0.200,99.499,0.300,0.0,0.0,123895808.0,10747904.0,230760448.0,3236573184.0,1049.600,990.400
0.100,0.200,99.300,0.300,0.100,0.0,124407808.0,10756096.0,230764544.0,3236048896.0,350.200,646.200
0.100,0.200,99.301,0.300,0.100,0.0,123760640.0,10764288.0,230752256.0,3236700160.0,194.400,133.800
